address	rarity	salt	nonce		
0x0000000000000e673aECBDB5f5fE5DFAf4a8e9Ac	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a199a5e1fb2076b602ea79c489	2		
0x0000000000000f3fb82469581A74776178E76Ca4	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a19576142f3a8ba401ef6135ad	5		
0x0000000000000fE1E261f66ce2F44def4F5Ae0CB	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a18655d0218b1ea7028a82cd17	14		
0x00000000000010bb6695dAAC60D0515c0A01a948	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1ddbe95d03ad68500e15b1cdd	26		
0x000000000000111475C0dD47f534Bd1aFF12BC3f	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a193f77f5974727b03d7141e14	4		
0x00000000000011c01475AE99948b22276E6a8985	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1686063ceca395a0033c9a9c4	17		
0x00000000000011D93b05698C7624107090792E12	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1f341c699eaad9402fae2b0de	16		
0x00000000000011Eeb1A99756be3ea0150B6Baa28	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1611737a71346ee00948d9474	19		
0x0000000000001272BB6BC29b57Edb0e9FccDeA83	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1b07368e58ddb1103be95841d	17		
0x00000000000012f072546b2b33BC0c5Fc83c735E	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a162a28f241e7ced01ad724c48	16		
0x000000000000132F585253b27A047C456C838213	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1103aa1224d368a003cd61936	11		
0x000000000000135429F0DaCaB61639Bf6a63EbbC	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a194781bbbe0ca21026108b73f	6		
0x000000000000139521eb8B48b23802a2537802Ef	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a19de82e68b17b450093e4ce57	29		
0x0000000000001479d623c89CAc05f5AB8776D8B9	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1f23307282ec227012736a346	21		
0x000000000000150918c9463629bE78Da8309Fb47	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1c8bd24b4203e2e03361ea9d1	24		
0x000000000000155f9860E155A779992Cde7E7449	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1abff4881d91664004af9487b	5		
0x00000000000016329F3ada9cbe9465B52Fe0960E	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a13599a99920875902c0a68cfd	15		
0x000000000000165cf5493d99BA8F01cffe4d0B3E	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a196fff3b6d1ec3701eb16fffe	18		
